session,speaker,emotion
Ses01F_impro01,F000,neu
Ses01F_impro01,F001,neu
Ses01F_impro01,F002,neu
Ses01F_impro01,F003,xxx
Ses01F_impro01,F004,xxx
Ses01F_impro01,F005,neu
Ses01F_impro01,F006,fru
Ses01F_impro01,F007,fru
Ses01F_impro01,F008,fru
Ses01F_impro01,F009,fru
Ses01F_impro01,F010,xxx
Ses01F_impro01,F011,fru
Ses01F_impro01,F012,ang
Ses01F_impro01,F013,fru
Ses01F_impro01,F014,neu
Ses01F_impro01,F015,fru
Ses01F_impro01,M000,fru
Ses01F_impro01,M001,fru
Ses01F_impro01,M002,fru
Ses01F_impro01,M003,fru
Ses01F_impro01,M004,fru
Ses01F_impro01,M005,fru
Ses01F_impro01,M006,fru
Ses01F_impro01,M007,fru
Ses01F_impro01,M008,fru
Ses01F_impro01,M009,fru
Ses01F_impro01,M010,fru
Ses01F_impro01,M011,ang
Ses01F_impro01,M012,xxx
Ses01F_impro01,M013,ang
Ses01F_impro02,F000,sad
Ses01F_impro02,F001,sad
Ses01F_impro02,F002,sad
Ses01F_impro02,F003,neu
Ses01F_impro02,F004,sad
Ses01F_impro02,F005,sad
Ses01F_impro02,F006,neu
Ses01F_impro02,F007,xxx
Ses01F_impro02,F008,sad
Ses01F_impro02,F009,xxx
Ses01F_impro02,F010,sad
Ses01F_impro02,F011,xxx
Ses01F_impro02,F012,sad
Ses01F_impro02,F013,sad
Ses01F_impro02,F014,sad
Ses01F_impro02,F015,sad
Ses01F_impro02,F016,neu
Ses01F_impro02,F017,sad
Ses01F_impro02,F018,neu
Ses01F_impro02,F019,sad
Ses01F_impro02,F020,sad
Ses01F_impro02,M000,xxx
Ses01F_impro02,M001,sad
Ses01F_impro02,M002,xxx
Ses01F_impro02,M003,fru
Ses01F_impro02,M004,xxx
Ses01F_impro02,M005,sad
Ses01F_impro02,M006,xxx
Ses01F_impro02,M007,xxx
Ses01F_impro02,M008,fru
Ses01F_impro02,M009,sad
Ses01F_impro02,M010,sad
Ses01F_impro02,M011,sad
Ses01F_impro02,M012,neu
Ses01F_impro02,M013,sad
Ses01F_impro02,M014,sad
Ses01F_impro02,M015,neu
Ses01F_impro02,M016,fru
Ses01F_impro03,F000,hap
Ses01F_impro03,F001,hap
Ses01F_impro03,F002,hap
Ses01F_impro03,F003,xxx
Ses01F_impro03,F004,hap
Ses01F_impro03,F005,hap
Ses01F_impro03,F006,hap
Ses01F_impro03,F007,xxx
Ses01F_impro03,F008,hap
Ses01F_impro03,F009,hap
Ses01F_impro03,F010,hap
Ses01F_impro03,F011,xxx
Ses01F_impro03,F012,hap
Ses01F_impro03,F013,hap
Ses01F_impro03,F014,xxx
Ses01F_impro03,F015,exc
